c__unidentified,c__Limnochordia,c__Verrucomicrobiae,c__Melainabacteria,c__Deltaproteobacteria,c__Alphaproteobacteria,c__Clostridia,c__Sphingobacteriia,c__Betaproteobacteria,c__Gammaproteobacteria,c__Negativicutes,c__Mollicutes,c__Flavobacteriia,c__Synergistia,c__Bacteroidia,c__Actinobacteria,c__Chlamydiae,c__Anaerolineae,c__Unknown_Class,c__Spirochaetes,c__Coriobacteriia,c__Bacilli,c__Bacteroidetes_vadinHA17,c__Erysipelotrichia,c__Chloroplast,c__Epsilonproteobacteria,c__Cytophagia,c__Deferribacteres
0.000654828,0,0.000231116,0,0.074188205,0.00508455,0.489773121,0,0,0.000346674,0,0.001540773,0.000115558,0,0.305804861,0.000192597,0,0,0.002542275,0,0.001771889,0.090905589,0,0.004198606,0,0.022379723,0,0.000269635
0.000462232,0,0,0,0.276915373,0.002041524,0.240283502,0,0.000231116,0.000423712,3.85E-05,0,0.000308155,0,0.239397558,0.000154077,0,0,0.000192597,0,0.00057779,0.111898617,0,0.000308155,0,0.12075806,0,0.006009014
0.000847425,0,3.85E-05,0,0.133816109,0.001271137,0.580909826,0,7.70E-05,0.000192597,0,0.000385193,7.70E-05,0,0.199298948,3.85E-05,0,0.000115558,0.000616309,0,0.00111706,0.068217711,0,0.000962983,0,0.01074689,0,0.001271137
0.000654828,0,0.003890451,0,0.048958052,0.021185625,0.273641231,0,0.000192597,0.000731867,0,0.003428219,0.001425215,0,0.602827318,3.85E-05,0,0,0.002503756,0,0.001887447,0.019567813,0,0.005354185,0,0.012826933,0,0.000885944
0.000231116,0,0.009937984,0,0.033588845,0.005700859,0.350410231,0,0.000770386,0.001232618,0,0.021609337,0.000346674,0,0.317283618,0,0,0,0.002003005,0,0.003659335,0.022533801,0,0.010631332,0,0.106236277,0,0.113824583
0.000654828,0,0.005200108,0,0.113054197,0.000154077,0.646623782,0,3.85E-05,0.000500751,0,7.70E-05,0.000154077,0,0.039983052,3.85E-05,0,0,0.000693348,0,0.001425215,0.028080582,0,0.003158584,0,0.101536921,0,0.058626401
0.000962983,0,0,0,0.111783059,0.001232618,0.625900389,0,0.000115558,0.000808906,0,0.005546782,0.000192597,0,0.166711606,3.85E-05,0,0,0.002426717,0,0.000423712,0.012826933,0,0.000115558,0,0.054774469,0,0.016139594
0.000924464,0,0.005469743,3.85E-05,0.129694542,0.003736374,0.564539116,0,0.000192597,0.00053927,0,0.004391202,7.70E-05,0,0.178537036,0,0,0,0.006509765,0,0.001579292,0.034590347,0,0.002003005,0,0.048611379,0,0.018566311
0.001232618,0,0,0,0.099264281,0.001309657,0.50564308,0,7.70E-05,0.000385193,0,0.000423712,0.000500751,0,0.372058087,0,0,0,0.000385193,0,0.000693348,0.015484766,0,0.000231116,0,0.001925966,0,0.000385193
0.000269635,0,0,0,0.064365779,0.000231116,0.57674974,0.000115558,7.70E-05,0.000847425,0,0.006740881,0,0,0.079041639,0,0,0,0.000962983,0,0.004853434,0.10157544,0,0.16081815,0,0.003120065,0,0.000231116
